Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
0230;Looduslike materjalide kogumine, v.a puit;0230;Loodussaaduste, v.a puidu varumine;
02301;Looduslike materjalide kogumine, v.a puit;02301;Loodussaaduste, v.a puidu varumine;
024;Metsamajandust abistavad tegevused;017;Jahindus ja seda teenindavad tegevusalad;
024;Metsamajandust abistavad tegevused;024;Metsamajandust abistavad tegevused;
0240;Metsamajandust abistavad tegevused;0170;Jahindus ja seda teenindavad tegevusalad;
0240;Metsamajandust abistavad tegevused;0240;Metsamajandust abistavad tegevused;
02401;Metsamajandust abistavad tegevused;01701;Jahindus ja seda teenindavad tegevusalad;
02401;Metsamajandust abistavad tegevused;02401;Metsamajandust abistavad tegevused;
03;Kalapüük ja vesiviljelus;01;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;
03;Kalapüük ja vesiviljelus;03;Kalapüük ja vesiviljelus;
031;Kalapüük;031;Kalapüük;
031;Kalapüük;033;Kalapüüki ja vesiviljelust abistavad tegevusalad;
0311;Merekalapüük;0311;Merekalapüük;
0311;Merekalapüük;0330;Kalapüüki ja vesiviljelust abistavad tegevusalad;
03111;Merekalapüük;03111;Merekalapüük;
03111;Merekalapüük;03301;Kalapüüki ja vesiviljelust abistavad tegevusalad;
0312;Mageveekalapüük;0312;Mageveekalapüük;
0312;Mageveekalapüük;0330;Kalapüüki ja vesiviljelust abistavad tegevusalad;
03121;Mageveekalapüük;03121;Mageveekalapüük;
03121;Mageveekalapüük;03301;Kalapüüki ja vesiviljelust abistavad tegevusalad;
032;Vesiviljelus;014;Loomakasvatus;
032;Vesiviljelus;032;Vesiviljelus;
032;Vesiviljelus;033;Kalapüüki ja vesiviljelust abistavad tegevusalad;
0321;Mere-vesiviljelus;0321;Mere-vesiviljelus;
0321;Mere-vesiviljelus;0330;Kalapüüki ja vesiviljelust abistavad tegevusalad;
03211;Mere-vesiviljelus;03211;Mere-vesiviljelus;
03211;Mere-vesiviljelus;03301;Kalapüüki ja vesiviljelust abistavad tegevusalad;
0322;Magevee-vesiviljelus;0148;Muu loomakasvatus;
0322;Magevee-vesiviljelus;0322;Magevee-vesiviljelus;
0322;Magevee-vesiviljelus;0330;Kalapüüki ja vesiviljelust abistavad tegevusalad;
03221;Magevee-vesiviljelus;01489;Muu loomakasvatus;
03221;Magevee-vesiviljelus;03221;Magevee-vesiviljelus;
03221;Magevee-vesiviljelus;03301;Kalapüüki ja vesiviljelust abistavad tegevusalad;
05;Kivi- ja pruunsöe kaevandamine;05;Kivi- ja pruunsöe kaevandamine;
051;Kivisöe kaevandamine;051;Kivisöe kaevandamine;
0510;Kivisöe kaevandamine;0510;Kivisöe kaevandamine;
05101;Kivisöe kaevandamine;05101;Kivisöe kaevandamine;
052;Pruunsöe kaevandamine;052;Pruunsöe kaevandamine;
0520;Pruunsöe kaevandamine;0520;Pruunsöe kaevandamine;
05201;Pruunsöe kaevandamine;05201;Pruunsöe kaevandamine;
06;Toornafta ja maagaasi tootmine;06;Toornafta ja maagaasi tootmine;
061;Toornafta tootmine;061;Toornafta tootmine;
0610;Toornafta tootmine;0610;Toornafta tootmine;
06101;Põlevkivi kaevandamine ja toornafta tootmine;06101;Toornafta tootmine ja põlevkivi kaevandamine;
062;Maagaasi tootmine;062;Maagaasi tootmine;
0620;Maagaasi tootmine;0620;Maagaasi tootmine;
06201;Maagaasi tootmine;06201;Maagaasi tootmine;
07;Metallimaakide kaevandamine;07;Metallimaakide kaevandamine;
071;Rauamaagi kaevandamine;071;Rauamaagi kaevandamine;
0710;Rauamaagi kaevandamine;0710;Rauamaagi kaevandamine;
07101;Rauamaagi kaevandamine;07101;Rauamaagi kaevandamine;
072;Mitteraudmetallide maakide kaevandamine;072;Mitteraudmetallide maakide kaevandamine;
0721;Uraani- ja tooriumimaagi kaevandamine;0721;Uraani- ja tooriumimaagi kaevandamine;
07211;Uraani- ja tooriumimaagi kaevandamine;07211;Uraani- ja tooriumimaagi kaevandamine;
0729;Muude mitteraudmetallide maakide kaevandamine;0729;Muude mitteraudmetallide maakide kaevandamine;
07291;Muude mitteraudmetallide maakide kaevandamine;07291;Muude mitteraudmetallide maakide kaevandamine;
08;Muu kaevandamine;08;Muu kaevandamine;
08;Muu kaevandamine;20;Kemikaalide ja keemiatoodete tootmine;
081;Kivi, liiva ja savi kaevandamine;081;Kivi, liiva ja savi kaevandamine;
0811;Dekoratiiv- ja ehituskivi, lubjakivi, kipsi, kriidi ja kiltkivi kaevandamine;0811;Dekoratiivkivi, lubjakivi, kipsi, kiltkivi ja muu kivi kaevandamine;
08111;Dekoratiiv- ja ehituskivi, lubjakivi, kipsi, kriidi ja kiltkivi kaevandamine;08111;Dekoratiivkivi, lubjakivi, kipsi, kiltkivi ja muu kivi kaevandamine;
0812;"Kruusa- ja liivakarjääride tegevus; savi ja kaoliini kaevandamine";0812;Kruusa- ja liivakarjääride tegevus ning savi ja kaoliini kaevandamine;
08121;"Kruusa- ja liivakarjääride tegevus; savi ja kaoliini kaevandamine";08121;Kruusa- ja liivakarjääride tegevus ning savi ja kaoliini kaevandamine;
08122;Killustiku tootmine;08122;Killustiku tootmine;
089;Mujal liigitamata kaevandamine;089;Mujal liigitamata kaevandamine;
089;Mujal liigitamata kaevandamine;201;"Põhikemikaalide, väetise ja lämmastikuühendite tootmine; plasti ja sünteeskautšuki tootmine algkujul";
0891;Kemikaalide ja mineraalväetiste toorme kaevandamine;0891;Kemikaalide ja mineraalväetiste toorme kaevandamine;
08911;Kemikaalide ja mineraalväetiste toorme kaevandamine;08911;Kemikaalide ja mineraalväetiste toorme kaevandamine;
0892;Turba tootmine;0892;Turba tootmine;
0892;Turba tootmine;2015;Väetiste ja lämmastikuühendite tootmine;
08921;Turba tootmine;08921;Turba tootmine;
08921;Turba tootmine;20151;Väetiste ja lämmastikuühendite tootmine;
0893;Soola kaevandamine;0893;Soola kaevandamine;
08931;Soola kaevandamine;08931;Soola kaevandamine;
0899;Muu mujal liigitamata kaevandamine;0892;Turba tootmine;
0899;Muu mujal liigitamata kaevandamine;0899;Muu mujal liigitamata kaevandamine;
08991;Muu mujal liigitamata kaevandamine;08921;Turba tootmine;
08991;Muu mujal liigitamata kaevandamine;08991;Muu mujal liigitamata kaevandamine;
09;Kaevandamist abistavad tegevusalad;09;Kaevandamist abistavad tegevusalad;
091;Nafta ja maagaasi tootmist abistavad tegevusalad;091;Nafta ja maagaasi tootmist abistavad tegevusalad;
0910;Nafta ja maagaasi tootmist abistavad tegevusalad;0910;Nafta ja maagaasi tootmist abistavad tegevusalad;
09101;Nafta ja maagaasi tootmist abistavad tegevusalad;09101;Nafta ja maagaasi tootmist abistavad tegevusalad;
099;Muud kaevandamist abistavad tegevusalad;099;Muud kaevandamist abistavad tegevusalad;
0990;Muud kaevandamist abistavad tegevusalad;0990;Muud kaevandamist abistavad tegevusalad;
09901;Muud kaevandamist abistavad tegevusalad;09901;Muud kaevandamist abistavad tegevusalad;
10;Toiduainete tootmine;10;Toiduainete tootmine;
10;Toiduainete tootmine;11;Joogitootmine;
101;Liha töötlemine ja säilitamine ning lihatoodete tootmine;101;Liha töötlemine ja säilitamine ning lihatoodete tootmine;
1011;Liha töötlemine ja säilitamine;1011;Liha, v.a linnuliha, töötlemine ja säilitamine;
10111;Liha töötlemine ja säilitamine, k.a tapamajade tegevus;10111;Liha, v.a linnuliha, töötlemine ja säilitamine;
1012;Linnuliha töötlemine ja säilitamine;1012;Linnuliha töötlemine ja säilitamine;
10121;Linnuliha töötlemine ja säilitamine, k.a sulgede tootmine;10121;Linnuliha töötlemine ja säilitamine, k.a sulgede töötlemine;
1013;Liha- ja linnulihatoodete tootmine;1013;Liha- ja linnulihatoodete tootmine;
10131;Liha- ja linnulihatoodete tootmine;10131;Liha- ja linnulihatoodete tootmine;
102;Kala, vähilaadsete ja limuste töötlemine ja säilitamine;102;Kala, koorikloomade ja molluskite töötlemine ja säilitamine;
