Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
45401;Mootorrataste, nende osade ja lisaseadmete müük, hooldus ja remont;95321;Mootorrataste remont ja hooldus;
46;Hulgikaubandus, v.a mootorsõidukid ja mootorrattad;46;Hulgikaubandus;
46;Hulgikaubandus, v.a mootorsõidukid ja mootorrattad;52;Laondus ja veondust abistavad tegevusalad;
461;Hulgimüük vahendustasu või lepingu alusel;461;Hulgimüük vahendustasu või lepingute alusel;
4611;Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete vahendamine;4611;Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete hulgimüügi vahendusteenus;
46111;Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete vahendamine;46111;Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete hulgimüügi vahendusteenus;
4612;Kütuste, maakide, metallide ja tööstuskemikaalide vahendamine;4612;Kütuste, maakide, metallide ja tööstuskemikaalide hulgimüügi vahendusteenus;
46121;Kütuste, maakide, metallide ja tööstuskemikaalide vahendamine;46121;Kütuste, maakide, metallide ja tööstuskemikaalide hulgimüügi vahendusteenus;
4613;Puidu ja ehitusmaterjalide vahendamine;4613;Puidu ja ehitusmaterjalide hulgimüügi vahendusteenus;
46131;Puidu ja ehitusmaterjalide vahendamine;46131;Puidu ja ehitusmaterjalide hulgimüügi vahendusteenus;
4614;Masinate, tööstusseadmete, laevade ja õhusõidukite vahendamine;4614;Masinate, tööstusseadmete, laevade ja õhusõidukite hulgimüügi vahendusteenus;
46141;Masinate, tööstusseadmete, laevade ja õhusõidukite vahendamine;46141;Masinate, tööstusseadmete, laevade ja õhusõidukite hulgimüügi vahendusteenus;
4615;Mööbli, kodutarvete ja rauakaupade vahendamine;4613;Puidu ja ehitusmaterjalide hulgimüügi vahendusteenus;
4615;Mööbli, kodutarvete ja rauakaupade vahendamine;4615;Mööbli, kodutarvete ja rauakaupade hulgimüügi vahendusteenus;
46151;Mööbli, kodutarvete ja rauakaupade vahendamine;46131;Puidu ja ehitusmaterjalide hulgimüügi vahendusteenus;
46151;Mööbli, kodutarvete ja rauakaupade vahendamine;46151;Mööbli, kodutarvete ja rauakaupade hulgimüügi vahendusteenus;
4616;Tekstiili, rõivaste, jalatsite ja nahktoodete vahendamine;4616;Tekstiili, rõivaste, jalatsite ja nahktoodete hulgimüügi vahendusteenus;
46161;Tekstiili, rõivaste, jalatsite ja nahktoodete vahendamine;46161;Tekstiili, rõivaste, jalatsite ja nahktoodete hulgimüügi vahendusteenus;
4617;Toidukaupade, jookide ja tubakatoodete vahendamine;4617;Toidukaupade, jookide ja tubakatoodete hulgimüügi vahendusteenus;
46171;Toidukaupade, jookide ja tubakatoodete vahendamine;46171;Toidukaupade, jookide ja tubakatoodete hulgimüügi vahendusteenus;
4618;Muude kindlate kaupade vahendamine;4618;Muude kindlate kaupade hulgimüügi vahendusteenus;
46181;Muude kindlate kaupade vahendamine;46181;Muude kindlate kaupade hulgimüügi vahendusteenus;
4619;Mitmesuguste erinevate kaupade vahendamine;4619;Spetsialiseerimata hulgimüügi vahendusteenus;
46191;Mitmesuguste erinevate kaupade vahendamine;46191;Spetsialiseerimata hulgimüügi vahendusteenus;
462;Põllumajandustoorme ja elusloomade hulgimüük;462;Põllumajandustoorme ja elusloomade hulgimüük;
462;Põllumajandustoorme ja elusloomade hulgimüük;463;Toidukaupade, jookide ja tubakatoodete hulgimüük;
4621;Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük;4621;Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük;
4621;Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük;4633;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;
46211;Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük;46211;Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük;
46211;Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük;46331;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;
4622;Lillede ja taimede hulgimüük;4622;Lillede ja taimede hulgimüük;
46221;Lillede ja taimede hulgimüük;46221;Lillede ja taimede hulgimüük;
4623;Elusloomade hulgimüük;4623;Elusloomade hulgimüük;
46231;Elusloomade hulgimüük;46231;Elusloomade hulgimüük;
4624;Toor- ja parknaha hulgimüük;4624;Toor- ja parknaha hulgimüük;
46241;Toor- ja parknaha hulgimüük;46241;Toor- ja parknaha hulgimüük;
463;Toidukaupade, jookide ja tubakatoodete hulgimüük;463;Toidukaupade, jookide ja tubakatoodete hulgimüük;
4631;Puu- ja köögivilja hulgimüük;4631;Puu- ja köögivilja hulgimüük;
46311;Puu- ja köögivilja hulgimüük;46311;Puu- ja köögivilja hulgimüük;
4632;Liha ja lihatoodete hulgimüük;4632;Liha, lihatoodete, kala ja kalatoodete hulgimüük;
46321;Liha ja lihatoodete hulgimüük;46321;Liha ja lihatoodete hulgimüük;
4633;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;4633;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;
46331;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;46331;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;
4634;Jookide hulgimüük;4634;Jookide hulgimüük;
46341;Alkohoolsete jookide hulgimüük;46341;Alkohoolsete jookide hulgimüük;
46342;Muude jookide hulgimüük;46349;Muude jookide hulgimüük;
4635;Tubakatoodete hulgimüük;4635;Tubakatoodete hulgimüük;
46351;Tubakatoodete hulgimüük;46351;Tubakatoodete hulgimüük;
4636;Suhkru, šokolaadi ja suhkrukondiitritoodete hulgimüük;4633;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;
4636;Suhkru, šokolaadi ja suhkrukondiitritoodete hulgimüük;4636;Suhkru, šokolaadi ja suhkrukondiitritoodete hulgimüük;
46361;Suhkru, šokolaadi, kondiitri- ja pagaritoodete hulgimüük;46331;Piimatoodete, munade, toiduõli ja -rasva hulgimüük;
46361;Suhkru, šokolaadi, kondiitri- ja pagaritoodete hulgimüük;46361;Suhkru, šokolaadi ja suhkrukondiitritoodete hulgimüük;
46361;Suhkru, šokolaadi, kondiitri- ja pagaritoodete hulgimüük;46362;Kondiitri- ja pagaritoodete hulgimüük;
4637;Kohvi, tee, kakao ja maitseainete hulgimüük;4637;Kohvi, tee, kakao ja maitseainete hulgimüük;
46371;Kohvi, tee, kakao ja maitseainete hulgimüük;46371;Kohvi, tee, kakao ja maitseainete hulgimüük;
4638;Muude toidukaupade hulgimüük, k.a kalad, vähilaadsed ja limused;4631;Puu- ja köögivilja hulgimüük;
4638;Muude toidukaupade hulgimüük, k.a kalad, vähilaadsed ja limused;4632;Liha, lihatoodete, kala ja kalatoodete hulgimüük;
4638;Muude toidukaupade hulgimüük, k.a kalad, vähilaadsed ja limused;4638;Muude toidukaupade hulgimüük;
46381;Kalade, vähilaadsete ja kalatoodete hulgimüük;46322;Kala ja kalatoodete hulgimüük;
46389;Mujal liigitamata toidukaupade hulgimüük;46311;Puu- ja köögivilja hulgimüük;
46389;Mujal liigitamata toidukaupade hulgimüük;46381;Muude toidukaupade hulgimüük;
4639;Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük;4639;Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük;
46391;Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük;46391;Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük;
464;Kodutarvete hulgimüük;464;Kodutarvete hulgimüük;
464;Kodutarvete hulgimüük;465;Info- ja sidetehnika hulgimüük;
464;Kodutarvete hulgimüük;466;Muude masinate, seadmete ja lisaseadmete hulgimüük;
4641;Tekstiiltoodete hulgimüük;4641;Tekstiiltoodete hulgimüük;
46411;Kangaste, kodutekstiili ja õmblustarvete hulgimüük;46411;Kangaste, kodutekstiili ja õmblustarvete hulgimüük;
4642;Rõivaste ja jalatsite hulgimüük;4642;Rõivaste ja jalatsite hulgimüük;
46421;Rõivaste ja rõivalisandite hulgimüük;46421;Rõivaste ja rõivalisandite hulgimüük;
46422;Jalatsite hulgimüük;46422;Jalatsite hulgimüük;
4643;Elektriliste kodumasinate hulgimüük;4643;Elektriliste kodumasinate hulgimüük;
4643;Elektriliste kodumasinate hulgimüük;4649;Muude kodutarvete hulgimüük;
4643;Elektriliste kodumasinate hulgimüük;4664;Muude masinate ja seadmete hulgimüük;
46431;Elektriliste kodumasinate hulgimüük;46431;Elektriliste kodumasinate hulgimüük;
46431;Elektriliste kodumasinate hulgimüük;46499;Mujal liigitamata kodutarvete hulgimüük;
46431;Elektriliste kodumasinate hulgimüük;46643;Elektrimaterjalide, -tarvikute ja -seadmete, k.a kaablite hulgimüük;
4644;Portselani ja klaastoodete ning puhastusvahendite hulgimüük;4644;Portselani ja klaastoodete ning puhastusvahendite hulgimüük;
46441;Portselani ja klaastoodete hulgimüük;46441;Portselani ja klaastoodete hulgimüük;
46442;Puhastusvahendite hulgimüük;46442;Puhastusvahendite hulgimüük;
4645;Parfüümide ja kosmeetika hulgimüük;4645;Parfüümide ja kosmeetika hulgimüük;
46451;Parfüümide ja kosmeetika hulgimüük;46451;Parfüümide ja kosmeetika hulgimüük;
4646;Farmaatsiatoodete hulgimüük;4646;Ravimite ja meditsiinikaupade hulgimüük;
46461;Ravimite ja muude apteegikaupade hulgimüük;46461;Ravimite ja muude apteegikaupade hulgimüük;
46462;Meditsiiniseadmete ja kirurgiriistade ning ortopeediliste abivahendite hulgimüük;46462;Meditsiiniseadmete ja kirurgiriistade ning ortopeediliste abivahendite hulgimüük;
4647;Mööbli, vaipade ja valgustite hulgimüük;4647;Mööbli, vaipade ja valgustite hulgimüük;
46471;Mööbli, vaipade ja valgustite hulgimüük;46471;Kodu-, kontori- ja kauplusemööbli, vaipade ja valgustite hulgimüük;
4648;Kellade ja ehete hulgimüük;4648;Kellade ja ehete hulgimüük;
46481;Kellade ja ehete hulgimüük;46481;Kellade ja ehete hulgimüük;
4649;Muude kodutarvete hulgimüük;4649;Muude kodutarvete hulgimüük;
4649;Muude kodutarvete hulgimüük;4650;Info- ja sidetehnika hulgimüük;
46491;Paberi, kirjatarvete, raamatute ja ajakirjandusväljaannete hulgimüük;46491;Paberi, kirjatarvete, raamatute ja ajakirjandusväljaannete hulgimüük;
46492;Spordikaupade hulgimüük (v.a spordirõivad ja vabaajajalatsid);46492;Spordikaupade hulgimüük (v.a spordirõivad ja vabaajajalatsid);
46493;Mängude ja mänguasjade hulgimüük;46493;Mängude ja mänguasjade hulgimüük;
46493;Mängude ja mänguasjade hulgimüük;46501;Arvutite, arvuti välisseadmete ja tarkvara hulgimüük;
46499;Mujal liigitamata kodutarvete hulgimüük;46499;Mujal liigitamata kodutarvete hulgimüük;
465;Info- ja sidetehnika hulgimüük;465;Info- ja sidetehnika hulgimüük;
4651;Arvutite, arvuti välisseadmete ja tarkvara hulgimüük;4650;Info- ja sidetehnika hulgimüük;
46511;Arvutite, arvuti välisseadmete ja tarkvara hulgimüük;46501;Arvutite, arvuti välisseadmete ja tarkvara hulgimüük;
4652;Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük;4650;Info- ja sidetehnika hulgimüük;
46521;Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük;46501;Arvutite, arvuti välisseadmete ja tarkvara hulgimüük;
46521;Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük;46502;Kontorimasinate ja -seadmete hulgimüük;
46521;Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük;46503;Elektroonika- ja sideseadmete ning nende osade hulgimüük;
466;Muude masinate, seadmete ja lisaseadmete hulgimüük;464;Kodutarvete hulgimüük;
466;Muude masinate, seadmete ja lisaseadmete hulgimüük;465;Info- ja sidetehnika hulgimüük;
466;Muude masinate, seadmete ja lisaseadmete hulgimüük;466;Muude masinate, seadmete ja lisaseadmete hulgimüük;
466;Muude masinate, seadmete ja lisaseadmete hulgimüük;468;Muu spetsialiseeritud hulgimüük;
4661;Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük;4661;Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük;
46611;Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük;46611;Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük;
4662;Tööpinkide hulgimüük;4662;Tööpinkide hulgimüük;
46621;Tööpinkide hulgimüük;46621;Tööpinkide hulgimüük;
4663;Kaevandus- ja ehitusmasinate hulgimüük;4663;Kaevandus- ja ehitusmasinate hulgimüük;
46631;Kaevandus- ja ehitusmasinate hulgimüük;46631;Kaevandus- ja ehitusmasinate hulgimüük;
4664;Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük;4664;Muude masinate ja seadmete hulgimüük;
46641;Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük;46641;Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük;
4665;Kontorimööbli hulgimüük;4647;Mööbli, vaipade ja valgustite hulgimüük;
46651;Kontorimööbli hulgimüük;46471;Kodu-, kontori- ja kauplusemööbli, vaipade ja valgustite hulgimüük;
4666;Muude kontorimasinate ja -seadmete hulgimüük;4650;Info- ja sidetehnika hulgimüük;
46661;Muude kontorimasinate ja -seadmete hulgimüük;46503;Elektroonika- ja sideseadmete ning nende osade hulgimüük;
4669;Muude masinate ja seadmete hulgimüük;4664;Muude masinate ja seadmete hulgimüük;
4669;Muude masinate ja seadmete hulgimüük;4683;Puidu, ehitusmaterjalide ja sanitaarseadmete hulgimüük;
46691;Tõste- ja teisaldusseadmete ja -masinate ning nende varuosade hulgimüük (k.a konteinerid);46642;Tõste- ja teisaldusseadmete ja -masinate ning nende varuosade, k.a konteinerite hulgimüük;
46692;Elektrimaterjalide, -tarvikute ja -seadmete hulgimüük, sh kaablid;46643;Elektrimaterjalide, -tarvikute ja -seadmete, k.a kaablite hulgimüük;
46692;Elektrimaterjalide, -tarvikute ja -seadmete hulgimüük, sh kaablid;46649;Muude masinate ja seadmete hulgimüük;
46693;Toiduainetööstus- ja kaubandusseadmete hulgimüük;46644;Toiduainetööstus- ja kaubandusseadmete hulgimüük;
46693;Toiduainetööstus- ja kaubandusseadmete hulgimüük;46831;Puidu ja puidu esmatöötlustoodete hulgimüük;
46699;Muude üld- ja eriotstarbeliste masinate ja seadmete hulgimüük;46641;Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük;
46699;Muude üld- ja eriotstarbeliste masinate ja seadmete hulgimüük;46649;Muude masinate ja seadmete hulgimüük;
467;Muu spetsialiseeritud hulgimüük;468;Muu spetsialiseeritud hulgimüük;
467;Muu spetsialiseeritud hulgimüük;522;Veondust abistavad tegevusalad;
4671;Tahke-, vedel- ja gaaskütuse jms toodete hulgimüük;4681;Tahke-, vedel- ja gaaskütuse jms toodete hulgimüük;
4671;Tahke-, vedel- ja gaaskütuse jms toodete hulgimüük;5222;Veetransporti teenindavad tegevusalad;
46711;Tahkekütuse hulgimüük;46811;Tahkekütuse hulgimüük;
46712;Mootorikütuse hulgimüük;46812;Mootorikütuse hulgimüük;
46712;Mootorikütuse hulgimüük;52222;Punkerdamine;
46719;Muu vedel- ja gaaskütuse jms hulgimüük;46819;Muu vedel- ja gaaskütuse jms hulgimüük;
4672;Metallide ja metallimaakide hulgimüük;4682;Metallide ja metallimaakide hulgimüük;
46721;Metallide ja metallimaakide hulgimüük;46821;Metallide ja metallimaakide hulgimüük;
4673;Puidu, ehitusmaterjalide ja sanitaarseadmete hulgimüük;4683;Puidu, ehitusmaterjalide ja sanitaarseadmete hulgimüük;
46731;Puidu ja puidu esmatöötlustoodete hulgimüük;46831;Puidu ja puidu esmatöötlustoodete hulgimüük;
46732;Sanitaarseadmete jm ehitusmaterjalide hulgimüük;46832;Sanitaarseadmete ja mujal liigitamata ehitusmaterjalide hulgimüük;
4674;Rauakaupade, veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük;4684;Rauakaupade, veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük;
46741;Veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük;46841;Veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük;
46749;Tööriistade jm rauakaupade hulgimüük;46842;Käsi-tööriistade ja rauakaupade hulgimüük;
4675;Keemiatoodete hulgimüük;4685;Keemiatoodete hulgimüük;
46751;Väetise ja agrokeemiatoodete hulgimüük;46851;Väetise ja agrokeemiatoodete hulgimüük;
46759;Muude keemiatoodete hulgimüük;46859;Muude keemiatoodete hulgimüük;
4676;Muude vahetoodete hulgimüük;4686;Muude vahetoodete hulgimüük;
46761;Muude vahetoodete hulgimüük;46861;Muude vahetoodete hulgimüük;
4677;Jäätmete ja jääkide hulgikaubandus;4687;Jäätmete ja jääkide hulgikaubandus;
46771;Jäätmete ja jääkide hulgikaubandus, taara ja pakendite kokkuost;46871;Jäätmete ja jääkide hulgikaubandus, taara ja pakendite kokkuost;
469;Spetsialiseerimata hulgikaubandus;469;Spetsialiseerimata hulgikaubandus;
4690;Spetsialiseerimata hulgikaubandus;4690;Spetsialiseerimata hulgikaubandus;
46901;Spetsialiseerimata hulgikaubandus;46901;Spetsialiseerimata hulgikaubandus;
47;Jaekaubandus, v.a mootorsõidukid ja mootorrattad;47;Jaekaubandus;
47;Jaekaubandus, v.a mootorsõidukid ja mootorrattad;60;Meediateenused, ringhääling, uudisteagentuuride tegevus ja muu sisu levitamine;
471;Jaemüük spetsialiseerimata kauplustes;471;Spetsialiseerimata jaekaubandus;
471;Jaemüük spetsialiseerimata kauplustes;479;Jaemüügiga seotud vahendusteenus;
4711;Jaemüük spetsialiseerimata kauplustes, kus on ülekaalus toidukaubad, joogid ja tubakatooted;4711;Peamiselt toidu, jookide või tubakatoodete spetsialiseerimata jaemüük;
4711;Jaemüük spetsialiseerimata kauplustes, kus on ülekaalus toidukaubad, joogid ja tubakatooted;4791;Spetsialiseerimata jaemüügi vahendusteenus;
47111;Jaemüük spetsialiseerimata kauplustes, kus on ülekaalus toidukaubad, joogid ja tubakatooted;47111;Peamiselt toidu, jookide või tubakatoodete spetsialiseerimata jaemüük;
47111;Jaemüük spetsialiseerimata kauplustes, kus on ülekaalus toidukaubad, joogid ja tubakatooted;47911;Spetsialiseerimata jaemüügi vahendusteenus;
4719;Jaemüük muudes spetsialiseerimata kauplustes;4712;Muu spetsialiseerimata jaemüük;
4719;Jaemüük muudes spetsialiseerimata kauplustes;4791;Spetsialiseerimata jaemüügi vahendusteenus;
47191;Jaemüük muudes spetsialiseerimata kauplustes;47121;Muu spetsialiseerimata jaemüük;
47191;Jaemüük muudes spetsialiseerimata kauplustes;47911;Spetsialiseerimata jaemüügi vahendusteenus;
472;Toidukaupade, jookide ja tubakatoodete jaemüük spetsialiseeritud kauplustes;472;Toidukaupade, jookide ja tubakatoodete jaemüük;
472;Toidukaupade, jookide ja tubakatoodete jaemüük spetsialiseeritud kauplustes;479;Jaemüügiga seotud vahendusteenus;
4721;Puu- ja köögivilja jaemüük spetsialiseeritud kauplustes;4721;Puu- ja köögivilja jaemüük;
4721;Puu- ja köögivilja jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47211;Puu- ja köögivilja jaemüük spetsialiseeritud kauplustes;47211;Puu- ja köögivilja jaemüük;
47211;Puu- ja köögivilja jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4722;Liha ja lihatoodete jaemüük spetsialiseeritud kauplustes;4722;Liha ja lihatoodete jaemüük;
4722;Liha ja lihatoodete jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47221;Liha ja lihatoodete jaemüük spetsialiseeritud kauplustes;47221;Liha ja lihatoodete jaemüük;
47221;Liha ja lihatoodete jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4723;Kala, vähilaadsete ja limuste jaemüük spetsialiseeritud kauplustes;4723;Kala, koorikloomade ja molluskite jaemüük;
4723;Kala, vähilaadsete ja limuste jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47231;Kala, vähilaadsete ja limuste jaemüük spetsialiseeritud kauplustes;47231;Kala, koorikloomade ja molluskite jaemüük;
47231;Kala, vähilaadsete ja limuste jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4724;Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük spetsialiseeritud kauplustes;4721;Puu- ja köögivilja jaemüük;
4724;Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük spetsialiseeritud kauplustes;4724;Leivatoodete, kookide ja kondiitritoodete jaemüük;
4724;Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47241;Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük spetsialiseeritud kauplustes;47211;Puu- ja köögivilja jaemüük;
47241;Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük spetsialiseeritud kauplustes;47241;Leiva- ja saiatoodete, kookide ja kondiitritoodete jaemüük;
47241;Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4725;Jookide jaemüük spetsialiseeritud kauplustes;4725;Jookide jaemüük;
4725;Jookide jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47251;Jookide jaemüük spetsialiseeritud kauplustes;47251;Jookide jaemüük;
47251;Jookide jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4726;Tubakatoodete jaemüük spetsialiseeritud kauplustes;4726;Tubakatoodete jaemüük;
4726;Tubakatoodete jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47261;Tubakatoodete jaemüük spetsialiseeritud kauplustes;47261;Tubakatoodete jaemüük;
47261;Tubakatoodete jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4729;Muu toidukaupade jaemüük spetsialiseeritud kauplustes;4727;Muude toidukaupade jaemüük;
4729;Muu toidukaupade jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47291;Muu toidukaupade jaemüük spetsialiseeritud kauplustes;47271;Muude toidukaupade jaemüük;
47291;Muu toidukaupade jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
473;Mootorikütuse jaemüük spetsialiseeritud kauplustes;473;Mootorikütuse jaemüük;
473;Mootorikütuse jaemüük spetsialiseeritud kauplustes;479;Jaemüügiga seotud vahendusteenus;
4730;Mootorikütuse jaemüük spetsialiseeritud kauplustes;4730;Mootorikütuse jaemüük;
4730;Mootorikütuse jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47301;Mootorikütuse jaemüük, sh tanklate tegevus;47301;Mootorikütuse jaemüük;
47301;Mootorikütuse jaemüük, sh tanklate tegevus;47921;Spetsialiseeritud jaemüügi vahendusteenus;
474;Info- ja sidetehnika jaemüük spetsialiseeritud kauplustes;474;Info- ja sidetehnika jaemüük;
474;Info- ja sidetehnika jaemüük spetsialiseeritud kauplustes;479;Jaemüügiga seotud vahendusteenus;
4741;Arvutite, arvuti välisseadmete ja tarkvara jaemüük spetsialiseeritud kauplustes;4740;Info- ja sidetehnika jaemüük;
4741;Arvutite, arvuti välisseadmete ja tarkvara jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47411;Arvutite, arvuti välisseadmete ja tarkvara jaemüük spetsialiseeritud kauplustes;47401;Arvutite, arvuti välisseadmete ja tarkvara jaemüük;
47411;Arvutite, arvuti välisseadmete ja tarkvara jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4742;Telekommunikatsiooniseadmete jaemüük spetsialiseeritud kauplustes;4740;Info- ja sidetehnika jaemüük;
4742;Telekommunikatsiooniseadmete jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47421;Telekommunikatsiooniseadmete jaemüük spetsialiseeritud kauplustes;47402;Sideseadmete jaemüük;
47421;Telekommunikatsiooniseadmete jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4743;Heli- ja videoseadmete jaemüük spetsialiseeritud kauplustes;4740;Info- ja sidetehnika jaemüük;
4743;Heli- ja videoseadmete jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47431;Heli- ja videoseadmete jaemüük spetsialiseeritud kauplustes;47403;Heli- ja videoseadmete jaemüük;
47431;Heli- ja videoseadmete jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
475;Muude kodutarvete jaemüük spetsialiseeritud kauplustes;475;Muude kodutarvete jaemüük;
475;Muude kodutarvete jaemüük spetsialiseeritud kauplustes;476;Kultuuri- ja vaba aja kaupade jaemüük;
475;Muude kodutarvete jaemüük spetsialiseeritud kauplustes;478;Mootorsõidukite, mootorrataste ning nende osade ja lisaseadmete jaemüük;
475;Muude kodutarvete jaemüük spetsialiseeritud kauplustes;479;Jaemüügiga seotud vahendusteenus;
4751;Tekstiiltoodete jaemüük spetsialiseeritud kauplustes;4751;Tekstiilitoodete jaemüük;
4751;Tekstiiltoodete jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47511;Tekstiiltoodete jaemüük spetsialiseeritud kauplustes;47511;Tekstiilitoodete jaemüük;
47511;Tekstiiltoodete jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4752;Rauakaupade, värvide ja klaasi jaemüük spetsialiseeritud kauplustes;4752;Rauakaupade, ehitusmaterjalide, värvide ja klaasi jaemüük;
4752;Rauakaupade, värvide ja klaasi jaemüük spetsialiseeritud kauplustes;4782;Mootorsõidukite osade ja lisaseadmete jaemüük;
4752;Rauakaupade, värvide ja klaasi jaemüük spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
47521;Rauakaupade ja tööriistade jaemüük spetsialiseeritud kauplustes;47521;Käsi-tööriistade ja rauakaupade jaemüük;
47521;Rauakaupade ja tööriistade jaemüük spetsialiseeritud kauplustes;47821;Mootorsõidukite osade ja lisaseadmete jaemüük;
47521;Rauakaupade ja tööriistade jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
47522;Veevarustus- ja sanitaarseadmete ning nende koosteosade jaemüük spetsialiseeritud kauplustes;47522;Veevarustus- ja sanitaarseadmete ning nende koosteosade jaemüük;
47522;Veevarustus- ja sanitaarseadmete ning nende koosteosade jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
47529;Muude ehitusmaterjalide ja -tarvete jaemüük spetsialiseeritud kauplustes;47529;Muude ehitusmaterjalide ja -tarvete jaemüük;
47529;Muude ehitusmaterjalide ja -tarvete jaemüük spetsialiseeritud kauplustes;47921;Spetsialiseeritud jaemüügi vahendusteenus;
4753;Vaipade, mattide, seina- ja põrandakatete jaemüük  spetsialiseeritud kauplustes;4753;Vaipade, mattide, seina- ja põrandakatete jaemüük;
4753;Vaipade, mattide, seina- ja põrandakatete jaemüük  spetsialiseeritud kauplustes;4792;Spetsialiseeritud jaemüügi vahendusteenus;
